Headline,label
"FIGYELEM! KEGYETLEN HIDEG JÖN! MINDEN DOLGOZÓNAK FONTOS FELHÍVÁST TETT KÖZZÉ A NEMZETGAZDASÁGI MINISZTÉRIUM! HA SZABADBAN, HIDEGBEN DOLGOZIK EZEK A SZABÁLYOK, AMIT MINDENKÉPPEN BE KELL TARTANI!",1
"Figyelem: fémgolyót találtak egy bébiételben, semmiképp se fogyasszák el",1
Figyelem! Fontos kormányközlemény tettek közzé minden nyugdíjasnak! Novemberben változik a nyugdíj kifizetése!,1
Orbán Viktor nyilatkozott az új 2020-as nyugdíjkorhatárról! Mindenkinek dolgozni kell majd 72 éves koráig???,1
Szja-bevallás 2018: Hétfő óta elérhetőek az szja-bevallási tervezetek >>>,1
"Hétvégén Szombaton, Vasárnap és ünnepnapon tilos füvet nyírni >>>",1
Március 1-től havi 100 ezer forint felett kaphatsz és még a jövedelmedtől sem függ!,1
"Augusztus 27-én jön a csp!!! Kétszer kapunk családi pótlékot, segélyt és ellátásokat, nem dupla ellátás csak az iskolakezdés miatt előbb jön a Szeptemberi!",1
"FONTOS! AZ ONYF MOST SEGÍT ABBAN, HOGY TÖBB NYUGDÍJAT KAPJON! ÉLJEN VELE, MERT INGYEN VAN!",1
INGYEN SZEMÜVEG ÉS LÁTÁSVIZSGÁLAT RÁSZORULÓKNAK! ÁTVÁLLALJÁK A SZEMÜVEG KÖLTSÉGÉT HA AZ ÉLESLÁTÁSHOZ KELL! RÉSZLETEK ITT >>,1
"ÍGY KAPHATSZ TÖBB SZÁZEZER FORINTOT, AMIT SOHA NEM KELL VISSZAFIZETNED! BÁRMIRE KÉRHETED! ÍGY KÉRHETED!",1
"MINDENKINEK KÖTELEZŐ LEHET A RENDSZÁMCSERE >> AUTÓSOK, ERRE KÉSZÜLJETEK! MOST JELENTETTÉK BE!",1
RENDKIVÜLI KÖZLEMÉNY !,1
"Minimálbér 2018 összege: havibér esetén 138 000, hetibérnél 31 730, napibérnél 6350, órabérnél 794 forint lesz",1
"Buék 2018 ! versek, vicces szilveszteri sms-ek köszöntők",1
VÖRÖS RIASZTÁS! NEM SEMMI AMIT MÁRA ÉS HOLNAPRA TARTOGAT AZ IDŐJÁRÁS! >>>>Harmadfokú riasztást adtak ki !,1
KÖZALKALMAZOTTI BÉRTÁBLA 2018,1
HA DOLGOZOL ENNEK ÖRÜLNI FOGSZ! 5000 FORINT PLUSZT KAP A FIZETÉSE MELLÉ TÖBB EZER MUNKAVÁLLALÓ HAVONTA JANUÁR 1-TŐL! NAGYON ÚJ TÖRVÉNY,1
Családi adókedvezmény 2018: már Februárban megkaphatja a pénzt >>> Mutatjuk:,1
"Felvi.hu Ponthatárok 2018 >>> Itt vannak az idei felvételi ponthatárok, írja a Felvi.hu",1
Felmondás közös megegyezéssel 2018,1
10 EZER FORINT KÉSZPÉNZ TÁMOGATÁST KAPNAK OKTÓBERBEN A 60 ÉV FELETTIEKNEK! ITT KAPJÁK MEG AZ AJÁNDÉK JUTTATÁST AZ IDŐSEK HÓNAPJÁRA A 60 ÉV FELETTIEK >>>>,1
Döbbenetes! Helyettünk döntöttek,1
Csok 2019: Fantasztikus bejelentés!!! A kétgyerekesek is megkapják a 20 milliót >>>,1
Nagy havazás és ónos eső lesz ma,1
FIGYELEM! MEGKEZDŐDÖTT A CSOMAG ÉS A MELEGÉTEL OSZTÁS,1
"Ingyenes fogászati ellátás 62 év felettieknek, nyugdíjasoknak!",1
Béremelés 2019,1
Adócsökkentés 2019: Elmaradtak a nagy adócsökkentések,1
Évente több mint 70 ezer forint támogatás jár minden magyarnak! Így kaphatod meg:,1
OTP Lakástakarék 2019/2020,1
Családi pótlék utalás 2021,1
"SZENZÁCIÓS HÍR! 70 EZER AJÁNDÉK TÁBLAGÉPET ÉS LAPTOPOT OSZTANAK SZÉT AZ ISKOLÁKBAN! 45 EZRET TANÁROK KAPNAK, 24 EZER SZÁMÍTÓGÉP DIÁKOKNAK ADNAK! MUTATJUK A RÉSZLETEKET >>>>",1
VIGYÁZAT!EZ A GYAKRAN FELÍRT ORVOSSÁG GYOMORRÁKOT OKOZHAT ÉS SZINTE SENKI NEM TUD ERRŐL A MELLÉKHATÁSRÓL! HA ILYEN ORVOSSÁGOT SZED VEGYE KOMOLYAN!,1
BALATONI ÁLLÁSOK >>> 450 EZRES FIZETÉSSEL KERESNEK MUNKAVÁLLALÓKAT A BALATONNÁL!,1
"NYUGDÍJASOK FIGYELEM! NAGY NAP LESZ NOVEMBER ELEJÉN A MAGYAR NYUGDÍJASOK ÉLETÉBEN! MINDENKÉPPEN LEGYEN OTTHON EZEN A NAPON, MERT NAGYON SOK PÉNZT VISZ A POSTÁS!",1
"CSALÁDOK FIGYELEM! EZEK A PÉNZEK MINDEN GYERMEK UTÁN JÁRNAK, DE MINDENKÉPPEN IGÉNYELNI KELL >>>",1
"MINIMÁLBÉR, BÉRPÓTLÉK, PIHENŐNAP, FELMONDÁS ÉS TÁVOLLÉTI DÍJ 2018 >>>",1
Betegszabadság 2018/2019,1
"9 millió forintos támogatás családoknak, amit soha nem kell visszafizetni >>> HATALMAS LEHETŐSÉG >>> HATALMAS PÉNZT KAPHATNAK AJÁNDÉKBA",1
Személyi Kölcsön feltételei! Melyik banknál érdemes most személyi hitelt felvenni?,1
Magyar Orvosi Kamara (MOK) Bértábla 2020/2021: Egészségügyi béremelés táblázat,1
Korkedvezményes nyugdíj 2018/2019: Férfiak és nők is megkapják a kedvezményeket az új rendszerben!,1
ÚJRA VISSZAKÜLDENÉK A MUNKÁBA A NŐK 40 PLUSZ PROGRAMMAL NYUGDÍJBA VONULT NŐKET!,1
"KÖZMUNKÁSOK, EGYÉB DOLGOZÓK FIGYELEM! 220 EZRES FIZETÉSÉRT JELENTKEZHETTEK MOST! ÚJ ÁLLÁSLEHETŐSÉG KÖZMUNKÁSOKNAK IS",1
Elvették a családi pótlékot sok Magyartól: Lefelezte Ausztria a magyarok családi pótlékát,1
"1 nap plusz szabadság, ami minden dolgozónak jár, csak sokan nem tudnak róla >>>",1
Itt a nagy bejelentés! Karácsonyi ajándékot kapnak a 60 év felettiek! Csomagküldő szolgálat fogja kézbesíteni a csomagokat! Minden jogosult automatikusan megkapja! Itt a tájékoztató,1
DRASZTIKUS DRÁGULÁS JÖN A MAGYAR BOLTOKBAN! EMELKEDNEK AZ ÉLELMISZER ÁRAK !,1
Ingyen tankönyv 2019/2020,1
"Országos támogatás! 45 ezer forint, amit idén és jövőre is megkaphatsz! 15 napon belül utalják >>>",1
Itt a friss időjárási előrejelzés,1
"Hétvégi munkanapok 2019: ennyi szombaton kell majd dolgozni, iskolába menni 2019-ben! >>>",1
"DOLGOZÓK FIGYELEM! MÁR CSAK PÁR NAPJA VAN, HOGY ELLENŐRIZZE VAGY LEADJA ADÓBEVALLÁSÁT!",1
Rokkantak figyelem: Pert nyert a rokkantnyugdíjas a magyar állammal szemben >>>,1
Rászorulók figyelem!!! Ingyen mobilházakat oszt a kormány!!!,1
15 megyére kiadták a riasztást! 80 km/órás széllel jön a jelentős lehűlés!,1
"FIGYELEM! Holnap jön az a vihar, amit az Atlanti-térség hurrikánjai gerjesztenek!",1
SZENZÁCIÓ! SOKKAL TÖBB AJÁNDÉK PÉNZT AD AZ ÁLLAM HASZNÁLT LAKÁSRA >>,1
Rendszeres szociális támogatás,1
"FIGYELEM! Óriási változás jön a sírhelyeknél, a sírhelyek megváltásánál, parcellák újramegváltásánál! Lázár János jelentette be, alig pár órája! MINDENKIT ÉRINT! Itt vannak a legfontosabb tudnivalók",1
Segélyesek figyelem: Kiderült!!! A Kormány a szociális segély részleges vagy teljes elvonására készül!!! Elveszik a segélyeket!!!,1
"REMEK HÍRT JELENTETTEK BE >> TÖBB PÉNZT KAPNAK A NYUGDÍJASOK, A CSALÁDOK ÉS A RÁSZORULÓK IS!",1
Botrány a kórházak körül: nincs elég K-vitamin az újszülötteknek!,1
100 négyzetméteres ház 1 millió forintból hazánkban is! Mindössze 1 millió forintból lehet kihozni ezzel az új technológiával egy 100 négyzetméteres házat >>>,1
Személyi kölcsön igénylés minimálbérre munkáltatói igazolás nélkül >>>,1
Kétgyermekesek családi adókedvezménye 2019: 10 ezer forintról 20 ezer forintra emelkedett a kétgyermekesek családi adókedvezménye gyerekenként!,1
Nyugdíjprémium összege 2018/2019,1
3 gyermekes anyák adókedvezménye 2020/2021 nyomtatvány,1
"Családi pótlék 2019: összege, utalása, szabályok, feltételek, igénylés és kiskapuk",1
"FONTOS! ÚJ TÜDŐBETEGSÉG TERJED MAGYARORSZÁGON! MÁR MOST TÖBB EZER ÉRINTETT LEHET, AKIKNEK FOGALMUK SINCS RÓLA! HA EZT A 2 TÜNETET TAPASZTALJA AZONNAL MENJEN ORVOSHOZ >>>",1
Személyi jövedelemadó 2019 (Szja),1
"Több százezer forintot kaphatsz >>> Pár napig igényelheted még, siess!",1
Fizetésemelésre vágysz? Több pénzt akarsz keresni ?,1
Ma este ez vár ránk!!! Osszátok meg >>> Időjárási fordulat érkezik,1
Lakástakarékpénztár 2018/2019: változnak a lakáskassza megtakarítások!,1
Adó egy százalék és az 1+1% 2019/2020,1
"JÓ HÍR ÉRKEZETT A 2018-AS FIZETÉSEKRŐL, MUNKABÉREKRŐL! ENNEK ÖN IS ÖRÜLNI FOG, HA VAN MUNKAHELYE >>>",1
"AUTÓSOK FIGYELEM! TÖBB SZÁZ AUTÓT VON KI A KORMÁNYHIVATAL A FORGALOMBÓL, ÚGY HOGY A TULAJDONOSOK MÉG NEM IS SEJTIK! ITT ELLENŐRIZHETI, HOGY AZ ÖNÉ KÖZTE VAN-E!",1
"FIGYELEM! RENDKÍVÜLI HÍR!!!! Meg­je­lent Ma­gyar­or­szá­gon a ser­tés­influ­enza, em­ber­ről em­berre ter­jed!",1
Műszaki vizsga árak 2020,1
"2-3 millió forintot fűtéskorszerűsítésre, fürdőszoba felújításra >>> így igényelheted ezt az összeget!",1
"INGYEN PÉNZT ADNAK ÉLELMISZERRE, GYÓGYSZERRE, REZSIRE, FŰTÉSRE, FELÚJÍTÁSRA! ÍGY KAPHATJA MEG A PÉNZT HA NYUGDÍJAS >>>",1
"INGYENES JOGOSÍTVÁNY TANFOLYAMOK INDULNAK! ÍGY SZEREZHETSZ C, E, D KATEGÓRIÁS JOGOSÍTVÁNYT TELJESEN INGYEN >>>",1
Konvektor pályázat: Lecserélné gázkonvektorát? Most hatalmas támogatást kaphat,1
Kivételes rokkantsági ellátás 2018 és 2019-ben,1
FIGYELEM! ÁPRILISBAN SZÁZEZREK KAPNAK NEM VÁRT PÉNZT VISSZA A BANKSZÁMLÁJUKRA >>>,1
"ÍGY VESZIK EL A CSALÁDI PÓTLÉKOT >>> Hiába fenyítik a szegényeket, attól még nem járnak többen iskolába",1
Mégis lesz NEM TETSZIK gomb a Facebookon !,1
"Dolgozók figyelem!!! ha így megy el táppénzre, akkor a teljes fizetését kézbe kapja >>",1
Máv menetrend 2019: Közzétette a 2019-es menetrendjét a MÁV-START >>>,1
Csok 2018 >>> változik a családi otthonteremtési kedvezmény 2018 februártól >>>,1
Adóbevallás: sok a baj az e-bevallásban!,1
Szenzációs HÍR !,1
Csalás megy a családi pótlékkal!!!,1
JANUÁR 1-TŐL HAVI KÖZEL 174 EZER FORINTOS PÉNZTÁMOGATÁST KAPHAT HA VAN GYERMEKE!,1
Nyugdíjprémium összege 2018/2019,1
Ilyen házakat lehet kapni 500 ezer forintért >>> mutatjuk:,1
Figyelem! Ha műanyag ablakod van most állítsd át téli módra! Megmutatjuk hogyan kell!,1
"Júliustól minden magyar dolgozót érintő változás jön >> A fizetéseket, munkabéreket érinti!",1
"Közmunkások figyelem!!! >>> sokaknak vége a közmunkának, új program indul több fizetésért!",1
SOK HÁZTARTÁS KAP KOMOLY ÁLLAMI TÁMOGATÁST AZ IDEI FŰTÉSSZEZONRA! TÖBB SZÁZEZER FORINTOS VISSZA NEM TÉRÍTENDŐ ÁLLAMI TÁMOGATÁS FŰTÉSRE!,1
Családi adókedvezmény 2018 kalkulátor,1
ŐRÜLETES PÁLYÁZAT INDULT KEDD REGGEL 8-KOR!,1
Ingyen telkek Magyarországon >>> Mutatjuk hol osztanak ingyenesen telkeket:,1
"Így változik 2018-tól a minimálbér, havi bér, órabér, napi bér, heti bér, garantált bérminimumos napi bér >>>",1
FIGYELEM! A TŰZOLTÓSÁG FIGYELMEZTETÉST ADOTT KI AZ ÜNNEPEKRE! HA TŰZ ÜT KI A LAKÁSBAN SOSE NYISD KI AZ ABLAKOKAT! NAGYON FONTOS ÁLLAMPOLGÁRI TUDNIVALÓKAT TETTEK KÖZZÉ TŰZ ESETÉRE! OSSZÁTOK KÉRLEK!!!!,1
"SZEPTEMBER 10-TŐL TÖBB MILLIÓT AKÁR 10 MILLIÓT ADNAK FELÚJÍTÁSRA! CSALÁDI HÁZRA, LAKÁSRA, SORHÁZRA, HÉTVÉGI HÁZRA, NYARALÓRA IS!",1
"TÁMOGATÁS TETŐCSERÉRE, TETŐJAVÍTÁSRA A VÖRÖSKERESZTTŐL! SOKAKNAK ÓRIÁSI SEGÍTSÉG! ERRE EDDIG SOSEM VOLT TÁMOGATÁS! TOVÁBBI RÉSZLETEK ITT >>>",1
Ezért nem hosszabbítják meg a jogosítványodat! Sok jogosítványt vonnak vissza >>> és szigorodnak az orvosi ellenőrzések!,1
Gépjármű forgalomba helyezése 2020: Regisztrációs adó kalkulátor 2020,1
72 ezer forint vissza nem térítendő állami támogatás jár mindenkinek! Itt igényelheti:,1
Kell az 50 ezer forint állami támogatás? Már csak néhány napod maradt >>>,1
Húsvéti ajándék nyugdíjasoknak 2019: itt vehetik át idén az ingyen utalványt a nyugdíjasok!!!,1
Meglepetés ! A jövő héten is folytatódik a változékony idő,1
Jön a fizetős Facebook! Fizetni kell ha továbbra is használni akarod a Facebook fiókodat!,1
NAGY VÁLTOZÁS AZ ÓRAÁTÁLLÍTÁSNÁL!,1
"ALBÉRLETRE, SZÁMLÁKRA, ÉLELMISZERRE, GYÓGYSZERRE, ADÓSSÁGRA, GYÓGYFÜRDŐRE, LAKBÉRRE ADNAK PÉNZT >> MUTATJUK HOL ÉS HOGYAN IGÉNYELHETED!",1
"INGYEN ÉLELMISZER, ITT KAPHATOD MEG: ÉTELDOBOZOKAT HELYEZTEK KI! BÁRKI INGYEN VEHET KI BELŐLE TÍZÓRAIT, SZENDVICSET, ZÖLDSÉGET, GYÜMÖLCSÖT, FŐTT ÉTELT!",1
"Nyugdíjasok figyelem >>> jön a 120 ezer forintos, 13. havi nyugdíj!",1
"IDÉN MÁR SZIGORÚ SZABÁLYOK VONATKOZNAK A GRILLEZÉSRE, KERTI SÜTÖGETÉSRE",1
Nők 40 éves nyugdíj melletti munkavégzés szabályai 2020,1
Nagyon veszélyes játék hódít a gyerekek körében. Iszonyatos sérülést okozhat a dezodor,1
Minimálbér >>> két számjegyű minimálbér,1
NŐK 40 Plusz program 2018! Jelentős szigorításokra kell készülni >>>,1
Rászorulók Figyelem !,1
"INGYEN CSALÁDI HÁZAT ÉS ÁLLÁST KAP, AKI IDEKÖLTÖZIK, AKÁR EGYEDÜL, AKÁR A CSALÁDJÁVAL, PÁRJÁVAL!",1
"INGYEN TÉLI RUHÁT, ÉLELMISZERT, JÁTÉKOT A GYEREKEKNEK, ÉS TÜZIFÁT ADNAK! FOLYAMATOSAN OSZTJÁK SZÉT! RÉSZLETEK ITT >>>",1
Mi Vár ránk 2018-ban : jön a havi 50 ezres nyugdíjkiegészítés,1
"HIVATALOS! >>> MENNYI PÉNZT ADNAK JÖVŐRE CSALÁDI PÓTLÉKRA, ANYASÁGI TÁMOGATÁSRA, GYESRE, GYETRE!",1
"Most jelentették be >> Durván szigorítják a jogosítvány meghosszabbításának, megszerzésének szabályait!",1
"CUKORBETEGEK, KRÓNIKUS BETEGEK FIGYELEM!",1
Adóelőleg nyilatkozat alkalmazás 2019 (ANYA),1
Az egekbe szökhet a tojás ára,1
Ausztriában havazik !!! Osszátok meg >>>,1
Szülők figyelem!!! Megváltozik a matematikaoktatás az általános és középiskolákban >>>,1
"ÚJ, NAGYON SZIGORÚ SZABÁLYOK JÖNNEK A SZÜLÉSNÉL!",1
"6,2 MILLIÓ FORINTOS VISSZA NEM TÉRÍTENDŐ TÁMOGATÁS HÁZTARTÁSOKNAK, CSALÁDI HÁZAKNAK!",1
"ONYF KÖZLEMÉNY >> VÁLTOZÁS A CSEDNÉL, GYEDNÉL, TÁPPÉNZNÉL, BALESETI TÁPPÉNZNÉL!",1
Nyugdíjas Erzsébet utalvány 2018: idén is lesz Karácsonyi Erzsébet utalvány nyugdíjasoknak!!!,1
A 40 ÉVNÉL IDŐSEBBEKNEK CSAK HETI 3 NAPOT KELLENE DOLGOZNIUK! Háromnapos munkahetet javasolnak a 40 év felettieknek!,1
"Itt a lista, kik kapnak Erzsébet-utalványt : Mutatjuk >>>",1
Fiatalok életkezdési támogatása és Babakötvény 2020,1
Nyugdíjasok figyelem: az átlagnyugdíjas jövőre 54.400 forinttal kap többet a kormánytól,1
Visszatér a 20 szálas cigis doboz,1
FIGYELEM! PONTOS ÖSSZEGEK,1
Októberben és novemberben 76.000 forint támogatás igényelhető minden gyermek után!! Családok figyelem! 76 ezer forintos egyszeri támogatást kaphattok idén gyermekenként! Már 1 gyermekes szülők is megkapják,1
ROSSZ HÍRT JELENTETT BE A TESCO A VÁSÁRLÓINAK!,1
"Sok egyszülős család nem is tud erről, pedig járna nekik.",1
"MÁRCIUSTÓL INGYEN ADJA AZ ÁLLAM AZ ÚTLEVELET, ANYAKÖNYVI KIVONATOT, A HATÓSÁGI BIZONYÍTVÁNYT, TULAJDONI LAPOT ÉS SOKMINDEN MÁST! Itt tájékozódhatsz!",1
VIGYÁZAT TÁMAD AZ INFLUENZA !!! Egyre több kórházban van látogatási tilalom az influenzajárvány miatt,1
Csok illetékkedvezmény 2018,1
"TB járulék összege 2020: Jön a tb-szigor, elbukhatjuk az ingyenes orvosi ellátást",1
EU-s támogatás indult magánszemélyeknek családi ház felújítására: Itt kérhető az előminősítés >>>,1
"CSOK VÁLTOZÁSOK 2018/2019: SOHA NEM VOLT MÉG OLYAN TÁMOGATÁS AMI 2018. JANUÁR 1-TŐL JÖN! HIHETETLEN, DE TÉNYLEG ÁTVÁLLALJA A CSALÁDOK TARTOZÁSÁNAK EGY RÉSZÉT! MUTATJUK MITŐL A RÉSZLETEKET",1
FRISS -Fantasztikus munkalehetőséget ajánlanak diploma sem kell hozzá ! Nézd meg miről van szó !,1
Fontos: Jó tudni! Hamarabb érkezik a novemberi nyugdíj!,1
"Változik a családi pótlék és minden más ellátás is, friss bejelentést tett a Kormány >>>",1
Csok 2018,1
Most érkezett!!! 250 ezer forintos nettó fizetésért 4 napos munkahétre keresnek alkalmazottat vidéken!!! Heti 3 szabadnap és utazási költségtérítés! Itt jelentkezhetsz >>>,1
Mindenkit érint! Sokkal szigorúbb lett a jogosítvány érvényességének meghosszabbítása!,1
"AKÁR 100%-OS TÁMOGATÁS LAKÁSRA, ALBÉRLETRE!",1
"Megérkeztek a mobilházak Magyarországra, darabja már 1 millió forintért!",1
Nem semmi időjárás jön a jövő héten! Meg fogunk sülni! Erre készüljetek : mutatjuk meddig kúszik fel a hőmérő higanyszála >>>,1
GÁZZAL FŰTŐK FIGYELEM! 500 EZER FORINTOS VISSZA NEM TÉRÍTENDŐ ÁLLAMI TÁMOGATÁS JÖN GÁZZAL FŰTŐKNEK! ILYEN MÉG NEM VOLT MAGYARORSZÁGON!,1
"Nagyon durva hideg jön, a tél legerősebb lehűlése közelít: Kiadták a riasztást >>>",1
"Minimálbér 2018 kalkulátor: kiszámoltuk, hogy mennyi a nettó minimálbér és a munkáltatói járulék 2018-tól",1
"JANUÁRTÓL INDUL AZ ÚJ TÁMOGATÁS >> SOKAN FOGNAK 64 EZER FORINTOT KAPNI, PEDIG NEM IS SZÁMÍTANAK RÁ!",1
Csökken a családi pótlék: családok figyelem!!! Erre senki nem számított >>>,1
FONTOS KÖZLEMÉNY! NOVEMBER 1-TŐL VÁLTOZÁS JÖN AZ ÁRAMSZOLGÁLTATÁSBAN! TÖBB TÍZEZER ÜGYFÉL ÉRINTET! A KÖVETKEZŐ SZÁMLÁJÁN MÁR ÉREZNI FOGJA A VÁLTOZÁS!,1
Csökken a családi pótlék: családok figyelem!!! Erre senki nem számított >>>,1
"Adóváltozások 2019: Áfa, szja, szocho",1
Tegnap délután egy idős nő Kecskeméten leugrott a 9. emeletről. Adósságok miatt vetett véget az életének!,1
Pár perce SÚLYOS FIGYELMEZTETÉST adott ki az OTP BANK! EZ most NAGYON NAGYON DURVA és Minden ügyfelüket érinti a súlyos probléma!,1
Ilyen idő lesz a hosszú hétvégén ,1
"ELKÉPESZTŐ BEJELENTÉS!!!!! Ezentúl önerő nélkül vehetsz házat, lakást 100%-os állami támogatással >>>",1
"Itt a magyar lottódrágulás: mutatjuk, mennyivel lesz drágább egy szelvény",1
Sok nyugdíjas havi 50 ezer forint támogatást kaphat,1
"Családok, egyedülállók figyelem!! 330 ezer forintos, teljesen új pénztámogatás pároknak, egyedülállóknak, élettársaknak, családoknak!",1
Cafeteria 2018: fontos változás jön a béren kívüli juttatásnál 2018-tól,1
Minimálbér és ápolási díj összege 2019: Minimálbérre emelnék az ápolási díjat >>>,1
"Nők, anyukák, asszonyok FIGYELEM!!!! 90 Ezer ft-os támogatás jár nektek!!!",1
Közmunkás bér 2020,1
Adóbevallás: már csak egy hét maradt a határidőig Május 22-ig!,1
"Nyugdíjemelés! 2,7 százalékkal emelkednek a nyugdíjak 2019 Januártól >>>",1
FIGYELEM,1
Cigi árak 2019,1
Munkavállalók figyelem: Jó hírt kaptak a bérből és fizetésből élők!!!,1
Megdöbbentő HIR ! Minden tizedik dolgozó szegénynek számít Magyarországon,1
Csok 2018,1
"BOMBA TIPP :rengeteget spórolhatsz, ha lecseréled a bankszámládat",1
"Magyarok tízezrei kaphatnak ilyen felszólítást: nincs mit tenni, fizetni kell",1
Végkielégítés 2018/2019,1
"SZÁZEZREKET KAPHATSZ, HA REGISZTRÁLSZ ERRE AZ OLDALRA!",1
Ingyen hitellel korszerűsíthetjük lakásunkat >> Lakásfelújítási pályázat folytatódik,1
Családosok figyelem! Több pénz jár a gyerekeknek mostantól! Varga Mihály jelentett be a jó hírt! >>,1
Ingyen Windows 10 letöltés: Még ingyen válthat Windows 10-re itt >>>,1
